software,doi,candidate_url,true_label,predicted_label,correct
fullfact,10.1002/ece3.1943,https://cran.r-project.org/package=nflfastR,0,1,0
star,10.1111/acel.12739,https://github.com/sahat/hackathon-starter,0,1,0
mixKernel,10.3389/fmicb.2021.609048,https://github.com/ipfgao/mixkernel,0,1,0
cumSeg,10.1371/journal.pone.0078143,https://github.com/cran/cumSeg,1,1,1
QCluster,10.1186/s13015-014-0029-x,https://github.com/jkomyno/bioalgo-QCluster-vs-isONclust,0,1,0
eQTLseq,10.1093/bioinformatics/btx355,https://cran.r-project.org/package=PQLseq,0,1,0
fullfact,10.1002/ece3.1943,https://cran.r-project.org/package=nflfastR,0,0,1
data.table,10.1371/journal.pbio.3001296,https://github.com/jbetancur/react-data-table-component,0,1,0
ndl,10.1371/journal.pone.0075734,https://github.com/ensemble-core/NdLinear,0,1,0
scikit-learn,10.1186/s13059-021-02480-2,https://cran.r-project.org/package=clustlearn,0,1,0
onnx,10.1007/s42452-021-04588-3,https://github.com/daquexian/onnx-simplifier,0,0,1
SKLEARN,10.3389/fmicb.2019.01084,https://pypi.org/project/scikit-learn/,1,1,1
lubridate,10.3389/fmicb.2020.594928,https://github.com/ellisvalentiner/lubridateExtras,0,0,1
ndl,10.1111/cogs.12910,https://cran.r-project.org/package=edgebundleR,0,1,0
knitr,10.1038/s41598-020-76843-3,https://github.com/yihui/knitr-examples,0,1,0
pandas,10.3390/cancers13061315,https://cran.r-project.org/package=pnd,0,1,0
pandas,10.1038/s41598-019-44839-3,https://github.com/jvns/pandas-cookbook,0,1,0
openrouteservice,10.3389/fped.2020.00395,https://github.com/GIScience/openrouteservice-py,1,1,1
mokken,10.1080/21642850.2018.1472602,https://cran.r-project.org/package=lokern,0,0,1
osmdata,10.1038/s41598-021-82145-z,https://github.com/chubrik/OsmDataKit,0,1,0
shiny,10.12688/f1000research.4680.2,https://cran.r-project.org/package=BLRShiny,0,0,1
dplyr,10.3389/fphys.2020.00862,https://cran.r-project.org/package=dplyrAssist,0,1,0
biopy,10.1186/1471-2148-13-221,https://github.com/jheled/biopy,1,1,1
rBayesianOptimization,10.3389/fgene.2020.00025,https://cran.r-project.org/package=BayesianMediationA,0,0,1
tidyr,10.3390/microorganisms9010002,https://github.com/cran/tidyr,1,1,1
dplyr,10.1002/ece3.3242,https://github.com/snowflakedb/dplyr-snowflakedb,0,1,0
readr,10.3934/publichealth.2021034,https://cran.r-project.org/package=BREADR,0,0,1
pytorch,10.3389/fncom.2021.626259,https://cran.r-project.org/package=mlr3torch,0,1,0
Flask,10.1093/database/baz075,https://cran.r-project.org/package=Familias,0,0,1
mirt,10.1007/s11136-015-1199-9,https://github.com/philchalmers/mirt/,1,1,1
Django,10.1093/database/bax073,https://github.com/cookiecutter/cookiecutter-django,0,0,1
SentimentAnalysis,10.2196/jopm.9745,https://cran.r-project.org/package=SentimentAnalysis,1,1,1
pdftables,10.3389/fneur.2020.00729,https://github.com/drj11/pdftables,0,1,0
STAR,10.1177/1759091419843393,https://github.com/google/web-starter-kit,0,1,0
rBayesianOptimization,10.3389/fonc.2020.00071,https://cran.r-project.org/package=rBayesianOptimization,1,1,1
ndl,10.1111/cogs.12910,https://cran.r-project.org/package=friendlynumber,0,1,0
SCINA,10.1186/s13059-019-1795-z,https://github.com/PetterRuud/com.scinan.api,0,0,1
pandas,10.1186/s12859-015-0608-y,https://github.com/guipsamora/pandas_exercises,0,1,0
Pygments,10.1186/s12864-016-3278-x,https://github.com/pygments/pygments,1,1,1
dplyr,10.3389/fneur.2017.00178,https://github.com/justmarkham/dplyr-tutorial,0,0,1
pyphysio,10.3390/s20236778,https://cran.r-project.org/package=plantphysioR,0,1,0
readr,10.1186/s12935-019-0731-3,https://cran.r-project.org/package=readr,1,1,1
MG-RAST,10.3389/fmicb.2019.02741,https://cran.r-project.org/package=GAS,0,1,0
stars,10.1371/journal.pone.0258031,https://github.com/stevencox/stars,0,0,1
pytorch,10.3390/s19030667,https://cran.r-project.org/package=psych,0,0,1
methylcheck,10.1186/s13072-019-0321-6,https://github.com/FOXOBioScience/methylcheck,1,1,1
mixKernel,10.3389/fmicb.2021.609048,https://github.com/ipfgao/mixkernel,0,1,0
sst,10.1371/journal.pone.0129674,https://cran.r-project.org/package=CARBayesST,0,1,0
ggplot2,10.1245/s10434-020-09200-3,https://github.com/cran/ggplot2,1,1,1
tidyverse,10.1038/s42003-021-01712-2,https://cran.r-project.org/package=tidyverse,1,1,1
scikit-learn,10.3389/fgene.2021.648329,https://github.com/scikit-learn-contrib/imbalanced-learn,0,1,0
furniture,10.1186/s12957-021-02391-3,https://pypi.org/project/furniture/,0,1,0
tensorflow,10.1186/s12911-019-0991-9,https://github.com/rstudio/tensorflow,0,1,0
eQTLseq,10.1093/bioinformatics/btx355,https://cran.r-project.org/package=PQLseq,0,1,0
tensorflow,10.1186/s12911-019-0991-9,https://cran.r-project.org/package=tensorflow,0,1,0
ggplot2,10.1186/s13068-021-01948-4,https://cran.r-project.org/package=ggplot2movies,0,0,1
modes,10.1371/journal.pone.0223490,https://cran.r-project.org/package=modest,0,0,1
phylip,10.7717/peerj.5089,https://cran.r-project.org/package=phyloTop,0,0,1
cumSeg,10.1371/journal.pone.0078143,https://github.com/cran/cumSeg,1,1,1
beepr,10.3389/fimmu.2021.632333,https://cran.r-project.org/package=epr,0,0,1
Django,10.1186/s12859-018-2082-9,https://cran.r-project.org/package=vangogh,0,0,1
