software,doi,candidate_url,true_label,predicted_label,correct
R package STAR,10.1016/j.cub.2019.09.005,https://github.com/luc-mo/react-package-starter,0,0,1
tensorflow,10.1371/journal.pcbi.1008918,https://github.com/tensorflow/tfjs,0,0,1
matplotlib,10.3390/antibiotics9110834,https://cran.r-project.org/package=datplot,0,0,1
assignPOP,10.1111/eva.12849,https://cran.r-project.org/package=assignPOP,1,1,1
deepredeff,10.1186/s12859-021-04293-3,https://cran.r-project.org/package=deepdep,0,0,1
QCluster,10.1186/s13015-014-0029-x,https://cran.r-project.org/package=ImCluster,0,0,1
tensorflow,10.1186/s12911-019-0991-9,https://github.com/jtoy/awesome-tensorflow,0,1,0
pandas,10.1371/journal.pone.0230416,https://pypi.org/project/pandas/,1,1,1
SKLEARN,10.3389/fmicb.2019.01084,https://cran.r-project.org/package=SLCARE,0,0,1
tensorflow,10.12688/f1000research.51117.1,https://cran.r-project.org/package=tensr,0,0,1
ggplot2,10.1186/s12864-020-6653-6,https://github.com/erikgahner/awesome-ggplot2,0,1,0
phylip,10.7717/peerj.5089,https://cran.r-project.org/package=phylepic,0,0,1
psych,10.1186/s13068-015-0396-7,https://cran.r-project.org/package=psychmeta,0,0,1
scikit-learn,10.3389/fgene.2019.01292,https://cran.r-project.org/package=clustlearn,0,0,1
psych,10.3389/fpsyt.2021.498614,https://github.com/jspsych/jsPsych,0,0,1
pandas,10.2196/13962,https://cran.r-project.org/package=pnd,0,0,1
activity,10.1186/s12870-015-0666-3,https://cran.r-project.org/package=biologicalActivityIndices,0,0,1
tandem,10.1128/genomeA.01271-17,https://cran.r-project.org/package=transmem,0,0,1
catmap,10.1371/journal.pone.0136282,https://cran.r-project.org/package=catmaply,0,0,1
cellranger,10.21203/rs.3.rs-664507/v1,https://github.com/hb-gitified/cellrangerRkit,0,1,0
sklearn,10.1002/advs.201903392,https://cran.r-project.org/package=learnr,0,0,1
tensorflow,10.1371/journal.pcbi.1008918,https://github.com/aymericdamien/TensorFlow-Examples,0,1,0
pandas,10.2196/13962,https://github.com/guipsamora/pandas_exercises,0,1,0
Flask,10.1093/gigascience/giz060,https://cran.r-project.org/package=rlas,0,0,1
MGDrivE,10.7554/eLife.65939,https://github.com/mln27/MGDrivE_Disease-Induced-Mortality,0,1,0
(STAR,10.3389/fphys.2020.623190,https://cran.r-project.org/package=STAREG,0,0,1
stars,10.1371/journal.pone.0247535,https://cran.r-project.org/package=stars,1,1,1
matplotlib,10.1038/s41398-018-0334-0,https://github.com/matplotlib/cheatsheets,0,1,0
tensorflow,10.1002/mp.14415,https://github.com/rstudio/tensorflow,0,0,1
tensorflow,10.1001/jamanetworkopen.2021.6096,https://cran.r-project.org/package=tensorA,0,0,1
Star,10.1186/s40478-016-0364-x,https://github.com/starship/starship,0,0,1
sst,10.1371/journal.pone.0129674,https://cran.r-project.org/package=crosstalk,0,0,1
star,10.1186/s13015-016-0068-6,https://cran.r-project.org/package=BAYSTAR,0,0,1
tripal,10.3389/fpls.2018.00418,https://cran.r-project.org/package=trip,0,0,1
earth,10.1038/s41598-020-75476-w,https://cran.r-project.org/package=earthtide,0,0,1
lunar,10.1002/ece3.7006,https://cran.r-project.org/package=lacunr,0,0,1
tigerstats,10.1093/jac/dky096,https://cran.r-project.org/package=geostats,0,0,1
matplotlib,10.1038/s41398-018-0334-0,https://github.com/rougier/matplotlib-tutorial,0,1,0
