software,doi,candidate_url,true_label,predicted_label,correct
fullfact,10.1002/ece3.1943,https://cran.r-project.org/package=nflfastR,0,0,1
star,10.1111/acel.12739,https://github.com/sahat/hackathon-starter,0,1,0
POAP,10.31557/APJCP.2019.20.11.3399,https://cran.r-project.org/package=PheCAP,0,0,1
mixKernel,10.3389/fmicb.2021.609048,https://github.com/ipfgao/mixkernel,0,1,0
cumSeg,10.1371/journal.pone.0078143,https://github.com/cran/cumSeg,1,1,1
POAP,10.31557/APJCP.2019.20.11.3399,https://cran.r-project.org/package=PheCAP,0,1,0
QCluster,10.1186/s13015-014-0029-x,https://github.com/jkomyno/bioalgo-QCluster-vs-isONclust,0,0,1
eQTLseq,10.1093/bioinformatics/btx355,https://cran.r-project.org/package=PQLseq,0,1,0
POAP,10.31557/APJCP.2019.20.11.3399,https://pypi.org/project/POAP/,0,0,1
R package STAR,10.1016/j.cub.2019.09.005,https://github.com/genxium/ReactNativeStarterPackage,0,0,1
numpy,10.1371/journal.pone.0206193,https://cran.r-project.org/package=ump,0,0,1
onnx,10.1007/s42452-021-04588-3,https://github.com/onnx/models,0,1,0
POAP,10.31557/APJCP.2019.20.11.3399,https://pypi.org/project/POAP/,0,0,1
fullfact,10.1002/ece3.1943,https://cran.r-project.org/package=nflfastR,0,1,0
data.table,10.1371/journal.pbio.3001296,https://github.com/jbetancur/react-data-table-component,0,0,1
PANDA,10.1186/1471-2105-9-182,https://github.com/chakra-ui/panda,0,0,1
scikit-learn,10.1186/s13059-021-02480-2,https://cran.r-project.org/package=clustlearn,0,1,0
onnx,10.1007/s42452-021-04588-3,https://github.com/daquexian/onnx-simplifier,0,0,1
ggplot2,10.3390/cancers13051079,https://cran.r-project.org/package=ggplot2.utils,0,0,1
lubridate,10.3389/fmicb.2020.594928,https://github.com/ellisvalentiner/lubridateExtras,0,0,1
ndl,10.1111/cogs.12910,https://cran.r-project.org/package=edgebundleR,0,1,0
WeightedROC,10.2196/27344,https://github.com/cran/WeightedROC,1,1,1
pandas,10.3390/cancers13061315,https://cran.r-project.org/package=pnd,0,1,0
pandas,10.1038/s41598-019-44839-3,https://github.com/jvns/pandas-cookbook,0,0,1
dplyr,10.18632/aging.202739,https://github.com/DPLYR-dev/SplashScreenFlutterPackage,0,0,1
mokken,10.1080/21642850.2018.1472602,https://cran.r-project.org/package=lokern,0,0,1
osmdata,10.1038/s41598-021-82145-z,https://github.com/chubrik/OsmDataKit,0,1,0
pandas,10.1186/s12864-019-5924-6,https://github.com/jvns/pandas-cookbook,0,1,0
dplyr,10.3389/fphys.2020.00862,https://cran.r-project.org/package=dplyrAssist,0,1,0
biopy,10.1186/1471-2148-13-221,https://github.com/jheled/biopy,1,1,1
stringr,10.3389/fphar.2020.563751,https://cran.r-project.org/package=nanostringr,0,0,1
tidyr,10.3390/microorganisms9010002,https://github.com/cran/tidyr,1,1,1
dplyr,10.1002/ece3.3242,https://github.com/snowflakedb/dplyr-snowflakedb,0,1,0
shiny,10.1038/s41598-020-76603-3,https://github.com/cran/shiny,1,1,1
pytorch,10.3389/fncom.2021.626259,https://cran.r-project.org/package=mlr3torch,0,1,0
Flask,10.1093/database/baz075,https://cran.r-project.org/package=Familias,0,1,0
tidyr,10.1038/s41598-020-59494-2,https://github.com/cran/tidyr,1,1,1
Django,10.1093/database/bax073,https://github.com/cookiecutter/cookiecutter-django,0,1,0
SentimentAnalysis,10.2196/jopm.9745,https://cran.r-project.org/package=SentimentAnalysis,1,1,1
lunar,10.1371/journal.pone.0246564,https://github.com/LunarVim/LunarVim,0,0,1
STAR,10.1177/1759091419843393,https://github.com/google/web-starter-kit,0,1,0
rBayesianOptimization,10.3389/fonc.2020.00071,https://cran.r-project.org/package=rBayesianOptimization,1,1,1
ndl,10.1111/cogs.12910,https://cran.r-project.org/package=friendlynumber,0,1,0
stringr,10.3389/fphar.2020.563751,https://cran.r-project.org/package=clustringr,0,0,1
pandas,10.1186/s12859-015-0608-y,https://github.com/guipsamora/pandas_exercises,0,0,1
Pygments,10.1186/s12864-016-3278-x,https://github.com/pygments/pygments,1,1,1
ggplot2,10.1186/s13068-021-01948-4,https://github.com/thomasp85/ggplot2_workshop,0,1,0
pyphysio,10.3390/s20236778,https://cran.r-project.org/package=plantphysioR,0,1,0
readr,10.1186/s12935-019-0731-3,https://cran.r-project.org/package=readr,1,1,1
svUnit,10.7717/peerj-cs.175,https://cran.r-project.org/package=snplist,0,1,0
stars,10.1371/journal.pone.0258031,https://github.com/stevencox/stars,0,0,1
pytorch,10.3390/s19030667,https://cran.r-project.org/package=psych,0,0,1
shiny,10.1038/s41598-020-76603-3,https://cran.r-project.org/package=ANOVAShiny,0,0,1
mixKernel,10.3389/fmicb.2021.609048,https://github.com/ipfgao/mixkernel,0,1,0
sst,10.1371/journal.pone.0129674,https://cran.r-project.org/package=CARBayesST,0,0,1
paramtest,10.3389/fpsyt.2018.00748,https://cran.r-project.org/package=paramtest,1,1,1
tidyverse,10.1038/s42003-021-01712-2,https://cran.r-project.org/package=tidyverse,1,1,1
scikit-learn,10.3389/fgene.2021.648329,https://github.com/scikit-learn-contrib/imbalanced-learn,0,1,0
Pandas,10.1021/acs.analchem.0c04373,https://cran.r-project.org/package=and,0,0,1
tensorflow,10.1186/s12911-019-0991-9,https://github.com/rstudio/tensorflow,0,1,0
eQTLseq,10.1093/bioinformatics/btx355,https://cran.r-project.org/package=PQLseq,0,1,0
tidyr,10.3389/fphys.2021.698463,https://github.com/cran/tidyr,1,1,1
ggplot2,10.1186/s13068-021-01948-4,https://cran.r-project.org/package=ggplot2movies,0,0,1
modes,10.1371/journal.pone.0223490,https://cran.r-project.org/package=modest,0,0,1
